Game,Minutes Played
Rising Storm Beta,0
Rising Storm/Red Orchestra 2 Multiplayer,23
Risk of Rain,0
Rock of Ages,33
Rogue Legacy,370
Rush Bros,75
SEGA Bass Fishing,0
SEGA Genesis & Mega Drive Classics,22
SNOW,6
STARWHAL,1
Sacred Citadel,441
Saints Row IV,1227
Saints Row: The Third,1031
Sanctum,0
Sanctum 2,119
Section 8: Prejudice,0
Serious Sam 3: BFE,0
Shadow Warrior,0
Shadow Warrior Classic Redux,0
Shadowrun Returns,0
Shank 2,0
Shelter,0
Sid Meier's Civilization V,0
Singularity,38
Sleeping Dogs™,0
Smashball,10
Sniper Elite V2,0
Sniper Ghost Warrior 2,0
Sonic & All-Stars Racing Transformed,0
Sonic Adventure DX,82
Sonic Generations,432
Source Filmmaker,55
Source SDK,320
Space Engineers,420
Spec Ops: The Line,445
SpeedRunners,60
Spelunky,0
Stacking,0
Star Trek,77
Star Wars: Knights of the Old Republic,24
Star Wars: The Force Unleashed II,0
Star Wars: The Force Unleashed Ultimate Sith Edition,73
StarForge,202
Starseed Pilgrim,10
State of Decay,0
Steel Storm: Burning Retribution,0
Strike Suit Zero,31
Super Game Jam,0
Super Hexagon,1
Super Meat Boy,858
Superbrothers: Sword & Sworcery EP,0
Surgeon Simulator,0
Symphony,24
System Shock 2,0
Team Fortress 2,4929
Team Fortress Classic,3
Terraria,1360
The Baconing,0
The Ball Beta,13
The Bard's Tale,0
The Basement Collection,6
The Binding of Isaac,2
The Bridge,0
The Bureau: XCOM Declassified,0
The Cave,0
The Chronicles of Riddick: Assault on Dark Athena,58
The Darkness II,0
The Elder Scrolls IV: Oblivion ,218
The Elder Scrolls V: Skyrim,3244
The Long Dark,0
The Secret of Monkey Island: Special Edition,0
The Stanley Parable,209
The Swapper,0
The Witcher 2: Assassins of Kings Enhanced Edition,0
The Witcher: Enhanced Edition,0
The Wolf Among Us,540
Thirty Flights of Loving,0
To the Moon,295
Tom Clancy's Ghost Recon,0
Tom Clancy's Ghost Recon: Advanced Warfighter,0
Tom Clancy's Ghost Recon: Advanced Warfighter 2,0
Tom Clancy's Ghost Recon: Desert Siege,0
Tom Clancy's Ghost Recon: Island Thunder,0
Tom Clancy's Splinter Cell: Conviction,0
Tomb Raider,426
Tony Hawk's Pro Skater HD,0
Torchlight,0
Torchlight II,1634
Total War: SHOGUN 2,0
TrackMania² Stadium,0
Train Simulator 2015,0
